Título,Reseña,Conteo de Palabras,Título_Sentimiento,Reseña_Sentimiento,Rating,Valor_Sentimiento
Perfecto,Ole las buenas aplicaciones para ,9,Positivo,Positivo,3,0.048475323
Actualización arreglada,Ya funciona correctamente de nuevo,5,Positivo,Positivo,3,0.066693548
Buena,La han reparado y funciona bien,6,Positivo,Positivo,3,0.078156621
Excelente y muy buena,Sigan así,2,Positivo,Positivo,3,0.081264411
Buena App,Muy util para,18,Positivo,Positivo,3,0.104674162
Buena aplicación,Sitio donde ,4,,Positivo,3,0.125126183
Hay que hacerla sencillas de usar,Falta desarrollo pero es buena sin duda. Si funcionara con el de,15,Positivo,Positivo,3,0.132087095
Va muy bien,Fenomenal para,5,Positivo,Positivo,3,0.136206682
Útil...,Funciona bien..un 9 .,4,,Positivo,3,0.136881606
Bien,Bien,1,Positivo,Positivo,3,0.151900352
Buena,…,1,Positivo,Positivo,3,0.153140606
Gran aplicación,Te tiene al,6,Positivo,Positivo,3,0.157435907
Perfecto,"Hace lo que dice, va bien",6,Positivo,Positivo,3,0.160616169
Muy precisa,Correcta en sus puntos,4,Positivo,Positivo,3,0.170650591
Ayuda,Falta precisar,16,Positivo,Positivo,3,0.190014895
es maravillosa,si todo el,12,Positivo,Positivo,3,0.201198611
Esta muy bien,Sobre todo para los que,9,Positivo,Positivo,3,0.212673734
Muy practico,Mientras nos tomemos,11,Positivo,Positivo,3,0.21822988
Interesante y eficaz,Vale la pena descargarla,4,Positivo,Positivo,3,0.237716862
Increíble,…,8,Positivo,Positivo,3,0.238395932
Espero que,Espero que con esta nueva actualización vuelva a sus origenes. Recomendable,11,Positivo,Positivo,3,0.244712651
estupendo ya corregido,mejor que las que e privado,6,Positivo,Positivo,3,0.246868564
¡Práctico!,Dependes de la,11,Positivo,Positivo,3,0.281624176
"Es buena,a mejorar!!!",Si avisara por,8,Positivo,Positivo,3,0.283673332
Muy buena apk.,Perffectoo....,1,Positivo,Positivo,3,0.288223609
Ahora si,Por fin an puesto por,10,Positivo,Positivo,3,0.297272009
Muy buena,Util,1,,Positivo,3,0.297443333
Me gusta,Es una ayuda,3,,Positivo,3,0.297790758
Jose,Es verdad lo que cuenta...,5,Negativo,Positivo,3,0.301520901
eficaz,A mi me gusta.si,22,Positivo,Positivo,3,0.308423871
Buenisima!,Muy precisa,2,Positivo,Positivo,3,0.310467655
Buena,Muy bueno,2,Positivo,Positivo,3,2.066293714
Recomendable,Recomendable,1,Positivo,Positivo,3,2.494901903
Ahora si va mucho mejor,La nueva actualización funciona bien. Ahora sí,7,Positivo,Positivo,4,0.107110756
Ahora si. Todo perfecto,Es muy útil y funciona muy bien. El único problema que tenia es que no me funcionaba…,38,Positivo,Positivo,2,0.1367655
Muy util,Pero lo ideal solo seria…,49,Positivo,Positivo,2,0.145602058
Ahora va muy bien.,"Hace tiempo se hizo una actualización con la cual dejaba de funcionar, ahora han vuelto a actualizarlo y vuelve a funcionar como antes, perfectamente, muchas gracias.",28,Positivo,Positivo,2,0.157160061
No esta nada mal,Soy de y tiene bastantes…,52,Negativo,Positivo,2,0.193290805
Practica,Muy util para los que…,17,,Positivo,4,0.199282782
Es una gran aplicacion!,Es muy practica para aquellos que,34,Positivo,Positivo,2,0.214543251
Mucho mejor,"Seguid así, la aplicacion ha mejorado mucho desd aquella actualizacion q casi se la carga. Ahora es todo configurable, ademas de ser mas rapido el funcionamiento.",49,Positivo,Positivo,2,0.226819347
Me gusta pero........,"le dare las 5 estrellas, cuando consiga…",16,Negativo,Positivo,4,0.236713
Ahora si,Haber kon anterioridad le di 1 * xke su version no me gustaba la veia un poko…,42,Positivo,Positivo,2,0.264090991
Buena,Anda ya los,22,,Positivo,4,0.272991278
FUNCIONA,Me funciona bastante bien,4,Positivo,Positivo,4,0.31591429
Mal usada,La aplicacion es perfecta. Lo ke veo incorrecto es,42,Negativo,Positivo,2,0.319576097
jorge,Gracias a los creadores de la app y a las personas que,27,Positivo,Positivo,2,0.358094904
Luis Miguel,"Sinceramente es una App,muy buena,la verdad…",35,Positivo,Positivo,4,0.397294136
Me meti y me,buena aplicacion espero que no cambie,17,Positivo,Positivo,4,0.400986299
Pep Vich,Muy util para la gente q,16,Positivo,Positivo,4,0.472361854
Muy útil,Cuando estás tanto tiempo … esta aplicación lo hace. Felicidades.,21,Positivo,Positivo,4,0.511458957
Hay que darle,Es muy útil,16,Positivo,Positivo,4,0.513035456
Creó que es muy interesante,… lo mínimo es agradecérselo,21,Positivo,Positivo,4,0.528874072
Estupendo,"Va de lujo, para tener",21,Positivo,Positivo,4,0.581933731
Está bien,"Buena app, habría q depurarla un poco pero van en buen camino.",12,Negativo,Positivo,4,0.743364666
Genial,Me parece fantástica me esta siendo súper útil por diversos motivos e intento,25,Positivo,Positivo,4,0.808384457
Genial esta versión,Cumple las expectativas y en,25,Positivo,Positivo,4,0.813521314
Me encanta!,"Buenisima aplicación, la deberían de tener … Muy recomendable.",30,Positivo,Positivo,4,0.870910603
Genial!,"Una aplicación muy buena, lo único que cambiaría sería … Por lo demás perfecta",19,Positivo,Positivo,4,0.911597568
Buena aplica,Aplicacion muy buena y la mejora a sido muy buena!,10,Positivo,Positivo,4,2.078532595
Muy buena,Siempre viene bien....,4,Positivo,Positivo,5,0.319411556
aora si,Gracias,3,Positivo,Positivo,5,0.335547529
Genial,Hasta la fecha … La recomiendo,9,Positivo,Positivo,5,0.340635633
Ya funciona,…,1,Positivo,Positivo,5,0.3408375
Hoy por hoy la mejor,La mejor app de … de todas,9,Positivo,Positivo,5,0.344928677
Nada mal...muy buena...,…,2,Positivo,Positivo,5,0.373012776
Funciona muy bien,"Es perfecta,al menos en.",5,Positivo,Positivo,5,0.377285863
Ok,Ok,1,Positivo,Positivo,5,0.410584089
Muy buena,A ver si así nos podemos l,12,Positivo,Positivo,4,0.416996065
Jose,"Tendria q funcionar tambien sin sonido,solo con vibracion",8,Positivo,Positivo,5,0.436012329
buenisima,funciona como un tiro indispensable para,13,Positivo,Positivo,4,0.458069978
Genial,Va de lujo con la actualzacion,6,Positivo,Positivo,5,0.462591719
Pésima actualización,"Antes iba de lujo, ahora falla siempre",7,Negativo,Positivo,5,0.475377614
Muy buena,"Después de los últimos arreglos va muy buen, espero que no tropiecen.",12,Positivo,Positivo,4,0.502011059
Excelente.!,Realmente útil.!,2,Positivo,Positivo,5,0.531342836
Magnifica,Lo mejor,2,Positivo,Positivo,5,0.556533077
Excelente,Para saber,11,Positivo,Positivo,4,0.590758436
Desde que an Actualizado,Esta muy bien la aplicacion,5,Positivo,Positivo,5,0.598366063
Guena,Esta muy bien a ver si es verdad os doy 5 estrellas,12,Positivo,Positivo,4,0.626541135
Util a tiempo real,De gran ayuda cuando,5,,Positivo,5,0.634095881
Mejorado,Va mejorando su funcionamiento. Buen trabajo,6,Positivo,Positivo,5,0.644796832
Muy buena,Bastante útil para,8,Positivo,Positivo,5,0.647471794
Muy util,Me gusta,2,Positivo,Positivo,5,0.650792126
Muy buena,La aplicación funciona de maravilla,7,Positivo,Positivo,5,0.651691434
Buena aplicacion,"Está bien, aun puede mejorar. Gracias un gran trabajo",9,Positivo,Positivo,5,0.660120248
muy util,perfecta para…,12,Positivo,Positivo,4,0.664222118
Me parece una gran aplicación,Es muy útil para las,11,Positivo,Positivo,5,0.666521782
Me a gustado,Buena app para,5,Positivo,Positivo,5,0.670468061
Buena,Pues eso....muy buena......,3,Positivo,Positivo,5,0.680167042
Muy buena,Aunque orientativa...... Y de buena ayuda,6,Positivo,Positivo,5,0.68187963
george,Por ahra util,3,Negativo,Positivo,5,0.681936812
Actualización no funciona,Con la nueva actualización q puedes elegir diseño está perfecta,10,Negativo,Positivo,5,0.693038888
Perfecta,Ahora está muy bien,4,Positivo,Positivo,5,0.694613288
Fantástico,Una estupenda aplicación,3,Positivo,Positivo,5,0.7036849
buena,…,2,,Positivo,5,0.727406479
Grande!!,"Gran aplicación,",2,Positivo,Positivo,5,0.729000659
Muy buena,Especially buenisima,2,Positivo,Positivo,5,0.736484972
arreglado,el nuevo update va muy bien.,6,Positivo,Positivo,5,0.777594411
Muy buena,Buena aplicación,2,Positivo,Positivo,5,0.789284099
Buena.,Buena aplicación.,2,Positivo,Positivo,5,0.789284099
Muy buena,Aun la estoy probando pero de momento me gusta,9,Positivo,Positivo,5,0.794210584
Perfecta,Por fin. 5 estrellas y cien por cien recomendable,9,Positivo,Positivo,5,0.796459239
Muy util,Es muy buena y de utilidad,6,Positivo,Positivo,5,0.825006227
Buena,esta muy bien así nos,10,Positivo,Positivo,5,0.848620381
buena y necesaria,Perfecta en su fabricacion. Guncioma de diez y,12,,Positivo,4,0.876945568
Buena,Esta muy bien..,3,Positivo,Positivo,5,0.950244538
Muy completa,Esta muy bien,3,,Positivo,5,0.950244538
Ahora va bien,Cambios para mejor solucionados muchos problemas .va muy bien la aplicación.gracias,11,Positivo,Positivo,4,0.970349549
de utilidad,"Muy buena, y muy util para",9,,Positivo,5,0.983343647
Buena herramienta,Me parece genial.,3,,Positivo,5,0.984503987
Magnifica,Es de las mejores app que e probado y es,15,Positivo,Positivo,4,0.98753342
Buena,Muy buena app para,7,Positivo,Positivo,5,1.015806703
app muy buena,Me parece muy buena y de gran ayuda,8,Positivo,Positivo,5,1.034916382
Gran aplicacion,"Sencilla de usar y muy util,",7,Positivo,Positivo,5,1.080510083
Buena,Es muy buena y muy,6,Positivo,Positivo,5,1.112476408
Ya funciona,"Ya va como empezó, sin problemas, muy útil para los que",18,Positivo,Positivo,4,1.117629398
Buena,MUY UTIL. FACIIL MANEJO,4,Positivo,Positivo,5,1.13248594
Perfecta,Fenomenal!,1,Positivo,Positivo,5,1.165488007
Me gusta,Fenomenal....,1,Positivo,Positivo,5,1.165488007
Buena,Muy buena están haciendo un buen trabajo,7,Positivo,Positivo,5,1.17386917
Va genial,Lo recomiendo :-),3,Positivo,Positivo,5,1.175564348
una makina,muy practico,2,Positivo,Positivo,5,1.204501619
Muy util,"Es muy util,y muy buena",5,Positivo,Positivo,5,1.213158403
bueno,Bueno,1,Positivo,Positivo,5,1.213942171
Muy buena,"Con la nueva actualización va de lujo, arreglados todos los fallos, muy buena aplicación",14,Positivo,Positivo,4,1.25207452
Noe,Una maravilla,2,Positivo,Positivo,5,1.271260474
Estupenda!,Una gran ayuda!,3,Positivo,Positivo,5,1.294011254
Muy buena aplicacion,Muy bien pensado!!funkciona a!,6,Positivo,Positivo,5,1.362262394
Simplemente perfecto,Muy útil,2,Positivo,Positivo,5,1.379529915
Recomendada,Muy útil!,2,Positivo,Positivo,5,1.379529915
Probe y me gustó,Va genial. ...era lo que buscaba,6,,Positivo,5,1.39564578
Me guata bastante.,Funciona muy bien.,3,Negativo,Positivo,5,1.405697
muy buena,m parece una muy buena aplicación facil d interpretar,9,Positivo,Positivo,5,1.41372294
ahora si!!!,"ahora si,perfecto,gracias!!!!",2,Positivo,Positivo,5,1.422714216
Muy buena aplicacion,Funciona muy bien y es muy util,7,Positivo,Positivo,5,1.425076792
Genial,De momento va todo genial,5,Positivo,Positivo,5,1.496927089
estupenda ami me va genial gracias y sigan mejorandola,estupenda ami me va genial gracias y sigan mej,9,,Positivo,5,1.527796804
Ok,Muy bien,2,Positivo,Positivo,5,1.593300806
Muy bien,Muy bien...,2,,Positivo,5,1.593300806
Recomendable,Muy buena aplicación.,3,Positivo,Positivo,5,1.630899896
Muy buena,Excelente aplicacion. Muy completa con,15,Positivo,Positivo,4,1.769817743
Genial,Fantástica,1,Positivo,Positivo,5,1.837082363
util,Muy buena me gusta mucho,5,Positivo,Positivo,5,1.8818057
Excelente,Muy buena app,3,Positivo,Positivo,5,1.943862418
FANTASTICA,Muy buena app,3,Positivo,Positivo,5,1.943862418
Necesita mejorar.,Excelente App!,2,Positivo,Positivo,5,2.052931905
Encantada,Muy práctica y fácil de usar. 100%recomendable,7,Positivo,Positivo,5,2.055556394
Muy buena,Muy buena,2,Positivo,Positivo,5,2.066293714
Muy buena,Muy buena,2,Positivo,Positivo,5,2.066293714
Muy buena aplicación me encanta,Muy bueno,2,,Positivo,5,2.066293714
Muy buena aplicación,"Funciona genial, muy buena aplicación.",5,Positivo,Positivo,5,2.098546668
Buena,Estupenda!!!!!!,1,Positivo,Positivo,5,2.220386984
Muy buena,Funciona perfectamente,2,Positivo,Positivo,5,2.295085568
